3495.25 4.53513e-17 4.8206e-18
3496.19 -2.33967e-18 -2.48726e-19
3497.12 7.90699e-19 8.40681e-20
3498.06 9.11784e-17 9.6954e-18
3498.99 1.00374e-16 1.06745e-17
3499.92 5.29102e-17 5.62756e-18
3500.86 2.95687e-17 3.14533e-18
3501.79 5.63571e-17 5.99564e-18
3502.72 5.55992e-17 5.91573e-18
3503.66 5.20105e-17 5.53457e-18
3504.59 2.26272e-17 2.40811e-18
3505.53 2.25722e-17 2.40255e-18
3506.46 4.10042e-17 4.36494e-18
3507.39 3.78314e-18 4.02768e-19
3508.33 -1.26484e-17 -1.34676e-18
3509.26 4.41569e-17 4.70224e-18
3510.2 8.48596e-17 9.03772e-18
3511.13 1.88839e-17 2.01141e-18
3512.06 -5.29414e-17 -5.63971e-18
3513 -4.75414e-17 -5.06506e-18
3513.93 -1.0292e-17 -1.09664e-18
3514.86 3.92969e-17 4.18767e-18
3515.8 3.18851e-17 3.39823e-18
3516.73 1.50106e-17 1.59998e-18
3517.67 1.85187e-17 1.97413e-18
3518.6 2.18433e-17 2.32882e-18
3519.53 4.43014e-17 4.72372e-18
3520.47 7.03953e-17 7.5069e-18
3521.4 7.24516e-17 7.72707e-18
3522.33 7.66599e-17 8.17683e-18
3523.27 1.2389e-16 1.32161e-17
3524.2 8.61203e-17 9.188e-18
3525.14 2.7129e-17 2.89467e-18
3526.07 4.79911e-17 5.12123e-18
3527 8.33163e-17 8.89186e-18
3527.94 6.10338e-17 6.51451e-18
3528.87 2.23245e-17 2.3831e-18
3529.81 2.4828e-17 2.65064e-18
3530.74 1.85162e-17 1.97701e-18
3531.67 -2.30953e-19 -2.4662e-20
3532.61 4.06848e-17 4.34496e-18
3533.54 4.28766e-17 4.57954e-18
3534.47 -3.23486e-17 -3.45545e-18
3535.41 -1.47414e-17 -1.57484e-18
3536.34 -1.20345e-17 -1.28579e-18
3537.28 6.25858e-17 6.68755e-18
3538.21 4.25999e-17 4.55247e-18
3539.14 6.62903e-17 7.08492e-18
3540.08 6.33457e-17 6.77094e-18
3541.01 7.8173e-17 8.35671e-18
3541.94 6.63013e-17 7.08838e-18
3542.88 4.81339e-17 5.14662e-18
3543.81 2.32715e-17 2.48852e-18
3544.75 3.81898e-17 4.08424e-18
3545.68 4.40289e-17 4.7092e-18
3546.61 3.1319e-17 3.35014e-18
3547.55 1.13689e-17 1.21624e-18
3548.48 -6.85892e-18 -7.33841e-19
3549.42 -6.8936e-18 -7.37628e-19
3550.35 2.25772e-17 2.41606e-18
3551.28 3.84167e-17 4.11151e-18
3552.22 1.28882e-17 1.37949e-18
3553.15 1.46448e-17 1.56767e-18
3554.08 2.73928e-17 2.93259e-18
3555.02 1.10606e-17 1.18424e-18
3555.95 -1.11348e-17 -1.1923e-18
3556.89 -1.22505e-17 -1.3119e-18
3557.82 1.94472e-17 2.08281e-18
3558.75 5.74344e-17 6.15188e-18
3559.69 6.43193e-17 6.89003e-18
3560.62 5.94616e-17 6.3703e-18
3561.55 4.22195e-17 4.52355e-18
3562.49 -1.48743e-17 -1.59385e-18
3563.42 -4.21314e-18 -4.51501e-19
3564.36 1.13298e-17 1.21428e-18
3565.29 -1.79218e-17 -1.92097e-18
3566.22 3.98288e-18 4.26951e-19
3567.16 3.89578e-17 4.17655e-18
3568.09 8.52525e-17 9.14056e-18
3569.03 9.02393e-17 9.67617e-18
3569.96 8.8955e-17 9.53938e-18
3570.89 1.00654e-16 1.0795e-17
3571.83 1.01201e-16 1.08547e-17
3572.76 8.92011e-17 9.56852e-18
3573.69 5.52433e-17 5.92647e-18
3574.63 2.6044e-17 2.79425e-18
3575.56 1.52393e-18 1.63517e-19
3576.5 4.04703e-17 4.34286e-18
3577.43 4.24673e-17 4.55759e-18
3578.36 3.20863e-17 3.44382e-18
3579.3 4.72061e-17 5.0671e-18
3580.23 2.98765e-17 3.20724e-18
3581.16 1.76751e-19 1.8976e-20
3582.1 2.35325e-17 2.52668e-18
3583.03 1.38788e-17 1.4903e-18
3583.97 1.86388e-17 2.00161e-18
3584.9 3.89639e-17 4.18469e-18
3585.83 2.38971e-17 2.56676e-18
3586.77 2.38517e-17 2.56212e-18
3587.7 4.38122e-17 4.70667e-18
3588.64 3.7555e-17 4.03484e-18
3589.57 4.14372e-17 4.45233e-18
3590.5 5.5138e-17 5.92498e-18
3591.44 3.14645e-17 3.38139e-18
3592.37 1.14771e-17 1.23352e-18
3593.3 1.76245e-17 1.89438e-18
3594.24 2.50339e-17 2.69102e-18
3595.17 3.35139e-17 3.6029e-18
3596.11 2.45628e-17 2.64084e-18
3597.04 1.23227e-17 1.32498e-18
3597.97 3.12714e-18 3.3627e-19
3598.91 -2.02132e-17 -2.17377e-18
3599.84 3.34814e-19 3.60096e-20
3600.78 4.02221e-17 4.3263e-18
3601.71 3.78499e-17 4.07149e-18
3602.64 2.97628e-17 3.20184e-18
3603.58 3.48528e-17 3.74973e-18
3604.51 4.23878e-17 4.56079e-18
3605.44 6.38318e-17 6.86867e-18
3606.38 4.12474e-17 4.43883e-18
3607.31 4.07264e-17 4.38313e-18
3608.25 3.95005e-17 4.25154e-18
3609.18 -1.65773e-17 -1.7844e-18
3610.11 3.01547e-18 3.24616e-19
3611.05 5.79859e-17 6.24271e-18
3611.98 3.17087e-17 3.41401e-18
3612.91 -1.24262e-17 -1.33801e-18
3613.85 1.88455e-18 2.02938e-19
3614.78 2.84094e-17 3.05952e-18
3615.72 1.96234e-17 2.11349e-18
3616.65 4.63445e-17 4.99182e-18
